company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label,previous_pattern
LICI,Mar-19,+,+,+,Other,
LICI,Mar-22,-,+,+,Distress,Other
LICI,Mar-23,+,+,+,Other,Distress
LODHA,Mar-16,+,+,+,Other,
LODHA,Mar-19,-,+,+,Distress,Other
LODHA,Mar-20,+,+,+,Other,Distress
LT,Mar-13,-,+,+,Distress,
LT,Mar-17,+,+,+,Other,Distress
LT,Mar-18,-,+,+,Distress,Other
LT,Mar-20,+,+,+,Other,Distress
LTIM,Mar-13,+,+,+,Other,
M&M,Mar-13,-,+,+,Distress,
M&M,Mar-15,+,+,+,Other,Distress
M&M,Mar-19,-,+,+,Distress,Other
M&M,Mar-21,+,+,+,Other,Distress
M&M,Mar-23,-,+,+,Distress,Other
MARUTI,Mar-13,+,+,+,Other,
MOTHERSON,Mar-13,+,+,+,Other,
NAUKRI,Mar-13,+,+,+,Other,
NESTLEIND,Dec-13,+,+,+,Other,
NHPC,Mar-13,+,+,+,Other,
NTPC,Mar-13,+,+,+,Other,
ONGC,Mar-13,+,+,+,Other,
PFC,Mar-13,-,+,+,Distress,
PFC,Mar-17,+,+,+,Other,Distress
PFC,Mar-18,-,+,+,Distress,Other
PFC,Mar-22,+,+,+,Other,Distress
PFC,Mar-23,-,+,+,Distress,Other
PIDILITIND,Mar-13,+,+,+,Other,
PNB,Mar-13,-,+,+,Distress,
PNB,Mar-14,+,+,+,Other,Distress
PNB,Mar-18,-,+,+,Distress,Other
PNB,Mar-21,+,+,+,Other,Distress
PNB,Mar-24,-,+,+,Distress,Other
POWERGRID,Mar-13,+,+,+,Other,
RECLTD,Mar-13,-,+,+,Distress,
RECLTD,Mar-17,+,+,+,Other,Distress
RECLTD,Mar-18,-,+,+,Distress,Other
RELIANCE,Mar-13,+,+,+,Other,
SBILIFE,Mar-13,+,+,+,Other,
SBIN,Mar-13,-,+,+,Distress,
SHREECEM,Jun-13,+,+,+,Other,
SHREECEM,Mar-16,-,+,+,Distress,Other
SHREECEM,Mar-17,+,+,+,Other,Distress
SHRIRAMFIN,Mar-13,-,+,+,Distress,
SIEMENS,Sep-14,+,+,+,Other,
SUNPHARMA,Mar-13,+,+,+,Other,
TATACONSUM,Mar-13,+,+,+,Other,
TATAMOTORS,Mar-13,+,+,+,Other,
TATAPOWER,Mar-13,+,+,+,Other,
TATASTEEL,Mar-13,+,+,+,Other,
TCS,Mar-13,+,+,+,Other,
TECHM,Mar-13,+,+,+,Other,
TITAN,Mar-13,+,+,+,Other,
TITAN,Mar-14,-,+,+,Distress,Other
TITAN,Mar-15,+,+,+,Other,Distress
TITAN,Mar-18,-,+,+,Distress,Other
TITAN,Mar-19,+,+,+,Other,Distress
TITAN,Mar-20,-,+,+,Distress,Other
TITAN,Mar-21,+,+,+,Other,Distress
TITAN,Mar-22,-,+,+,Distress,Other
TITAN,Mar-23,+,+,+,Other,Distress
TORNTPHARM,Mar-13,+,+,+,Other,
TRENT,Mar-13,+,+,+,Other,
TRENT,Mar-14,-,+,+,Distress,Other
TRENT,Mar-16,+,+,+,Other,Distress
TVSMOTOR,Mar-13,+,+,+,Other,
TVSMOTOR,Mar-19,-,+,+,Distress,Other
TVSMOTOR,Mar-20,+,+,+,Other,Distress
TVSMOTOR,Mar-22,-,+,+,Distress,Other
ULTRACEMCO,Mar-13,+,+,+,Other,
UNIONBANK,Mar-13,-,+,+,Distress,
UNIONBANK,Mar-14,+,+,+,Other,Distress
UNIONBANK,Mar-15,-,+,+,Distress,Other
UNIONBANK,Mar-16,+,+,+,Other,Distress
UNIONBANK,Mar-17,-,+,+,Distress,Other
UNIONBANK,Mar-18,+,+,+,Other,Distress
UNIONBANK,Mar-19,-,+,+,Distress,Other
UNIONBANK,Mar-21,+,+,+,Other,Distress
UNITDSPR,Mar-13,-,+,+,Distress,
VBL,Dec-12,-,+,+,Distress,
VEDL,Mar-13,-,+,+,Distress,
WIPRO,Mar-13,-,+,+,Distress,
ZOMATO,Mar-20,-,+,+,Distress,
ZYDUSLIFE,Mar-13,-,+,+,Distress,
